date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:32:56	4322/4322	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224df2ecd989f58e98928a2d7730bbd08f%22	https://frisk-nextapp.vercel.app/robots.txt		(from )
04:32:57	70630/70630	---MCZ	200	added ('OK')	text/html	etag:W/%22135bd58a7afa6dd7a5140d1b6477be25%22	https://frisk-nextapp.vercel.app/	./friskclone/frisk-nextapp.vercel.app/index.html	(from )
04:32:57	7992/7992	---M--	200	added ('OK')	font/woff2	etag:%22b550bca8934bd86812d1f5e28c9cc1de%22	https://frisk-nextapp.vercel.app/_next/static/media/0484562807a97172-s.p.woff2	./friskclone/frisk-nextapp.vercel.app/_next/static/media/0484562807a97172-s.p.woff2	(from https://frisk-nextapp.vercel.app/)
04:32:59	51008/51008	---M--	200	added ('OK')	font/woff2	etag:%22de9692f86990a2d7745fc63789877605%22	https://frisk-nextapp.vercel.app/_next/static/media/176b159565394c49-s.p.woff2	./friskclone/frisk-nextapp.vercel.app/_next/static/media/176b159565394c49-s.p.woff2	(from https://frisk-nextapp.vercel.app/)
04:32:59	7844/7844	---M--	200	added ('OK')	font/woff2	etag:%2242d3308e3aca8742731f63154187bdd7%22	https://frisk-nextapp.vercel.app/_next/static/media/4c285fdca692ea22-s.p.woff2	./friskclone/frisk-nextapp.vercel.app/_next/static/media/4c285fdca692ea22-s.p.woff2	(from https://frisk-nextapp.vercel.app/)
04:33:00	7816/7816	---M--	200	added ('OK')	font/woff2	etag:%22de2b6fe4e663c0669007e5b501c2026b%22	https://frisk-nextapp.vercel.app/_next/static/media/7db6c35d839a711c-s.p.woff2	./friskclone/frisk-nextapp.vercel.app/_next/static/media/7db6c35d839a711c-s.p.woff2	(from https://frisk-nextapp.vercel.app/)
04:33:01	7740/7740	---M--	200	added ('OK')	font/woff2	etag:%22792477d09826b11d1e5a611162c9797a%22	https://frisk-nextapp.vercel.app/_next/static/media/8888a3826f4a3af4-s.p.woff2	./friskclone/frisk-nextapp.vercel.app/_next/static/media/8888a3826f4a3af4-s.p.woff2	(from https://frisk-nextapp.vercel.app/)
04:33:02	7848/7848	---M--	200	added ('OK')	font/woff2	etag:%220bd523f6049956faaf43c254a719d06a%22	https://frisk-nextapp.vercel.app/_next/static/media/b957ea75a84b6ea7-s.p.woff2	./friskclone/frisk-nextapp.vercel.app/_next/static/media/b957ea75a84b6ea7-s.p.woff2	(from https://frisk-nextapp.vercel.app/)
04:33:03	7900/7900	---M--	200	added ('OK')	font/woff2	etag:%2243751174b6b810eb169101a20d8c26f8%22	https://frisk-nextapp.vercel.app/_next/static/media/eafabf029ad39a43-s.p.woff2	./friskclone/frisk-nextapp.vercel.app/_next/static/media/eafabf029ad39a43-s.p.woff2	(from https://frisk-nextapp.vercel.app/)
04:33:05	58092/58092	---M--	200	added ('OK')	image/jpeg	etag:%22b1d908de6f5ee25c00dd69f545757f89%22	https://frisk-nextapp.vercel.app/assets/img/portfolio/portfolio1_1.jpg	./friskclone/frisk-nextapp.vercel.app/assets/img/portfolio/portfolio1_1.jpg	(from https://frisk-nextapp.vercel.app/)
04:33:06	79953/79953	---M--	200	added ('OK')	image/jpeg	etag:%22a47899dc33460e370b5f68fd6f7ecf2e%22	https://frisk-nextapp.vercel.app/assets/img/portfolio/portfolio1_2.jpg	./friskclone/frisk-nextapp.vercel.app/assets/img/portfolio/portfolio1_2.jpg	(from https://frisk-nextapp.vercel.app/)
04:33:06	23305/23305	---M--	200	added ('OK')	image/jpeg	etag:%2265108c21d4894aad41d6450ec0d5a0dc%22	https://frisk-nextapp.vercel.app/assets/img/portfolio/portfolio1_3.jpg	./friskclone/frisk-nextapp.vercel.app/assets/img/portfolio/portfolio1_3.jpg	(from https://frisk-nextapp.vercel.app/)
04:33:08	64395/64395	---M--	200	added ('OK')	image/jpeg	etag:%22ce2810949ec59d5fa29652fc1d595c84%22	https://frisk-nextapp.vercel.app/assets/img/portfolio/portfolio1_4.jpg	./friskclone/frisk-nextapp.vercel.app/assets/img/portfolio/portfolio1_4.jpg	(from https://frisk-nextapp.vercel.app/)
04:33:09	152289/152289	---MCZ	200	added ('OK')	text/css	etag:W/%22516f6c6c81f76292797cebb9fd5ac753%22	https://frisk-nextapp.vercel.app/_next/static/css/42eda3b4cbda7520.css	./friskclone/frisk-nextapp.vercel.app/_next/static/css/42eda3b4cbda7520.css	(from https://frisk-nextapp.vercel.app/)
04:33:10	84998/84998	---MCZ	200	added ('OK')	text/css	etag:W/%229ab7fb3a41f2c28f716f274a9750a4e8%22	https://frisk-nextapp.vercel.app/_next/static/css/00c0fe84eb1868f4.css	./friskclone/frisk-nextapp.vercel.app/_next/static/css/00c0fe84eb1868f4.css	(from https://frisk-nextapp.vercel.app/)
04:33:11	183486/183486	---MCZ	200	added ('OK')	text/css	etag:W/%224459a8e2d896620b59d4fc7d10a44d07%22	https://frisk-nextapp.vercel.app/_next/static/css/6c6dcbd99c8d8055.css	./friskclone/frisk-nextapp.vercel.app/_next/static/css/6c6dcbd99c8d8055.css	(from https://frisk-nextapp.vercel.app/)
04:33:12	15162/15162	---MCZ	200	added ('OK')	text/css	etag:W/%220a17eaa3e213318291cfdb51b6892563%22	https://frisk-nextapp.vercel.app/_next/static/css/1c639d07d856b012.css	./friskclone/frisk-nextapp.vercel.app/_next/static/css/1c639d07d856b012.css	(from https://frisk-nextapp.vercel.app/)
04:33:13	3972/3972	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a2fd74cbede9ff3e94fa5807f6004386%22	https://frisk-nextapp.vercel.app/_next/static/chunks/webpack-88c45991830649d7.js	./friskclone/frisk-nextapp.vercel.app/_next/static/chunks/webpack-88c45991830649d7.js	(from https://frisk-nextapp.vercel.app/)
